sentence,emotion
Layin n bed with a headache  ughhhh...waitin on your call...,0
Funeral ceremony...gloomy friday...,0
"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!",0
Charlene my love. I miss you,0
I'm sorry  at least it's Friday?,0
Ugh! I have to beat this stupid song to get to the next  rude!,0
if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol,0
The storm is here and the electricity is gone,0
So sleepy again and it's not even that late. I fail once again.,0
How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend,0
so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.,0
"i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!",0
Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!,0
yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?,0
I'm having a problem with my photo here in twitter amf!!!...can't see my face!,0
"Aww  Onward and upwards now, yay! Still sad to leave I bet.",0
diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.,0
I want to buy this great album but unfortunately i dont hav enuff funds  its &quot;long time noisy&quot;,0
in all honesty...pain   blech.,0
Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...,0
i fell asleep on the beach and didn't put on enough sunscreen  lol,0
ohh thursday i have exams.. all day  what about wednesday ?,0
"i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go.",0
I love those 'it'sakey' USB sticks. We only have the 4GB in Australia,0
hiii im on my ipod...i cant fall asleep,0
dont wanna work 11-830 tomorrow  but i get paid,0
feels sad coz i wasnt able to play with the guys!!!,0
Darn these allergies! I don't like this time of year because of this! I never used to have this problem either,0
i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS,0
"I wish she knew what she puts me through..She stole my heart, never gave it back..and occasionally she likes to be like look what I have!",0
early happy day of birth in case I don't make it! Very tired from therapy today n just taking my medicine!  misshu! Love ya!,0
Allergies suck ducks nuts.;,0
wonders why her Karma points turned into 0.00.,0
Is miserable  i feel like im gona cry  sux!,0
*sigh* I'm going to bed... I just don't feel right anymore...,0
Now I am depressed after watching so you think you can dance,0
"Just cross 'cause I'm stuck twiddling my thumbs now, ugh",0
"Last day working for the Uni today, sad times",0
is still missing her husband.    I really want him home.,0
I miss my puppy,0
@nzdeany I've given up on pizza - kids would never let me have my fav  (the hot ones),0
@BarbSchaefer yearling in pet home died... very sad for their whole family,0
"@heresmyhello92 We hate change, so of course. We're fans for life. &lt;3 Oh and if we haven't met Rob by then something went horribly wrong.",0
well fuck- this new pain med has an odd warning that actually applies to me. i can't take this. -chan is displeased.,0
just uploaded my new blog... a painful story about an 80s year old man who cried because he wanted to die... very sad,0
I just saw pics from this past Thanksgiving and am sad because Grandma was in them.,0
Took a shift tomorrow.    I don't really feel like working right now.,0
but now i have no money for a phone,0
Too bad the Red Devils.. disappointing to say the least,0
"@xdjio Have a 3ware 9650SE, not fast enough for 3x X25-M SSD RAID5. 800Mhz IOP on the HPT. Might try an Adaptec 5405 (1.2Ghz).",0
@AlexanderGWhite daaammmnnnnn I do wish I was there.,0
@yuki_hime I played up until the latter parts of the voodoo village part co-op until I lost my usual partner,0
is a bad friend,0
"@moggy99 No internet last night; ER was brill, there was a massive explosion at the end of a nearby gas works ER on standby",0
@lenje - Still a pity it comes with no lamb though,0
@bloomsday16  I'm sorry to hear that. Here is my optimist: Things will get better. For all of us.,0
Had to cancel wow for now,0
@fairyfroggie But yeah...I'm sad about my &quot;Ravenclaw&quot; account. I love that account to bits.,0
Up late with nothin 2 do.....,0
sometimes i wish things could go back to the way they were the beginning of last summer,0
"@kateisbored I feel the same way, but I guess no matter where you are there will always be memes.",0
Cute Malay girl came to seemy room for rent - sadly think it was for her guyfreind   bit misleading and disappointing LOL,0
"Everytime I send an email to my coach, I feel a need to practice.   shitty balls.  Lol",0
It's pissing me off and not letting me follow ericka,0
Is going to sleep not peaceful  wanted to hear him say Good Night but that didn't happen  Good Night everyone....,0
my mums trying to make me feel ebtter about stopping voting adn not winning shortstack. i almost cried.,0
I haven't seen Muffin in two whole days!,0
@YumiFujii i'll miss y'all back... give @LesleyBoudy my regards...,0
Just found mj mouse flats at DJs. Of course there are none left in my size,0
@xoshayzers i knoww  things won't be the samee &lt;/3,0
Going to sleep. Gonna fall asleep playing apps again. Tmrw is going to suck,0
I can't believe the Metal Gear Solid song was stolen    I'm so disappointed,0
@MacZombieRawr  I wish I had Left 4 Dead. But first I'd need something to play it on...,0
my teeth and head hurts,0
I HATE rob zombie movies. &amp; the smell of weed. Vommmm.,0
no more arrested development. i am sad.,0
omg i keep losing followers this is so sad  i want 90 one day....thats my goal ;D,0
I feel so deflated. No more doggy.,0
"I just had to empty my trash on the mac. that was one of THE MOST DIFFICULT things I have ever done in my life. 8,000 pictures are GONE.",0
im contacting PAWS Philippines so i can find &quot;tiger&quot; a new owner. im so sad. i love my dog soo much,0
just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to be over,0
Fuuudge. Movie store is closed,0
ALO is so sad and quiet and empty tonight,0
Aw where are you headed to? i just cancelled my trip to Aussie,0
Sad that Christian Lacroix had to file bankruptcy,0
I dont feel good AT ALL. fuckkk,0
Have to go to the dreaded DMV tomorrow,0
Taylor Swift and Joe Jonas looked really good together. I'm kinda sad they broke up.,0
God I just want to sleep.,0
Found my book. Starting a real paper-bound journal tonight. Have an annoying zit above my lip. Makes me look like I have herpes,0
@RealBlackWidow But but I dun wanna,0
@imjustlalayone damn girl I'm so down but ya gotta let me know so I can get my kit together &amp; I got a flyer  Any next weekend? I&quot;M DOWN!,0
"@JustinOdom dbl booooooo for being sick, flippin blows! ... bahaha i kno i dont have many friends on here either. i feel so lame  haha",0
feels sick to my stomach and idkk whyy,0
"Um, I was thrown from @JareWolf's van yesterday and had to be taken to the ER",0
The link doesn't work,0
my stupid tooooth hurts,0
my computers broken and I broke my laptop so I had to use the phone  ahh still on he cause they fucked up my order.,0
I'm awake. Anybody else awake? Wish I lived in the US since all the fun happens when I'm asleep!,0
heehee. i love you! i am tired.,0
"Morning everyone sorry for going early last night had bad news, felt totally crap   Today is a new day",0
"how I wish my parents put me into a Chinese school when I was younger. Then, it'll be so much easier for me to get a job...",0
@joiskol  being in your room makes me sad.,0
@CocktailChic oh f*ck! I completely forgot about Thirsty Thursday! oh. my. gaga. this sucks,0
"if one people did any wrong, the world blames all the people over there, this is the great world which we are living in!  Shit!",0
@meljachin: eww. dislike,0
"@SuzyDunkley sorry bout the cat,",0
missed iron chef,0
@thevowel the DS version sucks,0
what a bad day,0
went to the cd store to search for the cd. But,0
I miss my mom..  &quot;May angels lead you in&quot;,0
@chocolovere i feel the same way every day,0
Can't sleep. Sucks. The one day i have to sleep in and i have to get up and go shopping with mom. Ugh.,0
Sleppytime. Really missing my godfather right now. Love you Wayne,0
So have a headache right now and it sucks,0
"@jwray12 Lakers, baby Lakers!! I'll miss the game tmwr. I have to work  you'll have to keep me posted please",0
"comfort food of the day: pan mee. though, it didnt taste any good..",0
misses my baby.,0
I'm poorly and can't sleep,0
has work tom.,0
today we say goodbye to the second good friend in a week from dmp  but at least the sun is shinning and I'm definately NOT working this pm,0
Sometimes the things you say hurt the ones you love most unintentionally.  And you can never ever take it back or fix it.,0
@nickkk_ that sucks!,0
Having Fever  dont feel to work,0
missing @MeLDiBiAsE...6 days can't pass quick enough,0
"Working from home today, my back is killing me  Doctor and then physio after later today.",0
Missing you all deeply,0
"@Ravels sniff sniff  take care ravels! Hopefully we'll be chatting again soon. In the mean time, I'll HELLA miss you.",0
I don't want her to leave..,0
"@KaliyahPjones lmao...thats sad, kinda discourages me 4rom goin if the shit's wack",0
@WillyNorthpole I wish I was there,0
"I miss my little Batty, she was only 3 months old when she got sick, she was always so fun and full of life &lt;3 Even at the very end...",0
morning again! I hate mornings. So offensive!,0
bed bed bed @samuelasanders do you never answer texts anymore?  I thought of you the other day and sent one but never heard back. Sad day,0
@brianshead waah. We're no longer your peeps.,0
@angelica_yo LOL wow dawg doesn't sound like you're playing!  I feel bad now haha,0
@MariusLT I'm sorry about your bad driving experiences.,0
Already misses @CMontecillo,0
Gutted that the bathroom still isn't free- early work isn't going to happen  . And I need the loo!,0
thank you @ddlovato (: cant wait!!!! ummm btw ima crash still sick,0
"First my work computer, now my home laptop is fucked.",0
@joek949 It's depressing I'm stuck inside all day,0
i hate being sick. i miss @cynthiasheree @lucyowns and @larilync,0
"Woke Up,I Wanna Stay In My bed",0
Upsidedown tomato plants died!,0
@ddlovato Caan't Iht Be Earlier? ICant Wait That Long.  Ahar. (:,0
@prncsztalia why do you hate me!?,0
http://twitpic.com/663vr - Wanted to visit the animals but we were too late,0
#jonaswebcast i just missed it!!!!,0
So exhausted..can't sleep. I don't like these nights,0
i'm gonna miss all the live Comet action tomorrow! i have to go take care of my cousins and they don't have access to the interwebz,0
@NothinButSin sorry to hear that.,0
Just found out I can't drink at this bar! Booo missing e1 at palomino's! No cheers sad face,0
finished a whole box of ice cream,0
@chrisontv88 btw I am not a wimp,0
@queenbmakeup i can't add you on myspace girly  it asks for a last name and email,0
I don't wanna go back to work   sleepy time.,0
http://bit.ly/3W9w1  NOOOO! he goes for Orlando! OMG  I'm gonna CRY!!!!!!!!,0
"@johnpopham Morning John, yes I do, however I have a diary clash and sadly can't attend!",0
I miss my friend,0
Yea i just saw this really sad commercial,0
Hmmm. Using TinyTwitter on a small non-touch screen is really not much fun,0
Hates having to sleep alone,0
I loved johnny carson now I'm going to hate seeing jay leno go,0
even though everyone wanted to do a newish song and our teacher agreed :S old grumpy doesn't like us happy  haha,0
@razitul ya. i was suffering the whole day yesterday. met dentist and feel a bit better. i still look like rocky balboa though,0
I didn't get a callback for the play I cried...  oh well I guess it's back to being a techie..,0
@lunafactor I kinda wish I went with you now!.. I can't fall asleep,0
@Dakshinamurti Not yet... sorry,0
FALL ASLEEP ON ME AGAIN  But I know how it feels now LOL. Drag Me To Hell tonight! Quite excited,0
um... so I don't think my text msgs have a &quot;subject line&quot; ... I fail,0
tummy ache.,0
"@askegg I'm sorry, Andrew. I wish there was something I could do...",0
